gru_risk,rl_risk,academic_issue,days_since_last_login,alerts_sent,alerts_responded,engagement_score
HIGH,HIGH,1,9,4,2,3.3160000000000003
LOW,LOW,0,2,5,2,3.372
LOW,LOW,0,5,2,1,3.168
LOW,LOW,1,5,3,1,3.722666666666667
LOW,LOW,0,0,3,1,2.524666666666667
LOW,LOW,1,2,4,2,1.6920000000000002
HIGH,HIGH,0,9,1,0,2.716
HIGH,HIGH,0,6,0,0,4.076
LOW,LOW,0,4,2,1,2.778
HIGH,HIGH,0,6,5,2,4.800000000000001
HIGH,HIGH,1,8,4,2,1.7740000000000002
LOW,LOW,1,5,1,0,1.608
HIGH,HIGH,1,7,1,0,0.972
LOW,LOW,1,1,3,1,4.528666666666666
HIGH,HIGH,0,9,4,2,5.086
LOW,LOW,1,2,5,3,2.114
HIGH,HIGH,1,7,5,2,2.74
HIGH,HIGH,1,7,1,0,3.25
LOW,LOW,1,4,3,1,1.9586666666666663
LOW,LOW,0,2,0,0,2.36
HIGH,HIGH,0,9,3,1,5.8726666666666665
HIGH,HIGH,1,8,4,2,2.276
HIGH,HIGH,1,7,0,0,3.224
HIGH,HIGH,0,6,1,0,5.28
LOW,LOW,1,5,4,3,3.96
LOW,LOW,0,4,4,2,0.73
HIGH,HIGH,1,8,0,0,2.894
LOW,LOW,0,4,5,2,0.8980000000000001
HIGH,HIGH,0,9,0,0,3.29
LOW,LOW,1,2,5,2,3.276
HIGH,HIGH,0,7,5,1,2.586
HIGH,HIGH,1,9,3,1,3.9366666666666665
HIGH,HIGH,0,6,3,1,3.456666666666667
LOW,LOW,0,4,5,2,3.5120000000000005
LOW,LOW,0,2,4,2,3.756
HIGH,HIGH,0,6,1,0,1.738
LOW,LOW,1,2,3,1,4.168666666666667
LOW,LOW,0,2,2,0,5.222
LOW,LOW,0,4,3,1,0.8726666666666667
LOW,LOW,1,1,0,0,2.258
LOW,LOW,1,4,5,3,2.442
LOW,LOW,1,5,4,2,0.21
LOW,LOW,1,1,1,0,2.874
HIGH,HIGH,1,9,1,0,2.608
HIGH,HIGH,0,6,2,0,1.412
LOW,LOW,0,0,0,0,1.734
LOW,LOW,1,1,1,0,3.526
HIGH,HIGH,0,7,0,0,3.664
HIGH,HIGH,1,9,2,1,4.056
HIGH,HIGH,1,7,2,1,3.628
HIGH,HIGH,1,7,4,2,3.948
LOW,LOW,1,3,0,0,2.346
LOW,LOW,0,3,1,0,7.369999999999999
HIGH,HIGH,0,7,3,2,7.381333333333333
LOW,LOW,0,1,5,3,4.268
LOW,LOW,0,1,3,2,4.745333333333335
LOW,LOW,0,3,4,3,6.472
HIGH,HIGH,0,7,4,2,7.028
HIGH,HIGH,0,8,3,2,7.783333333333333
HIGH,HIGH,1,6,0,0,6.674
LOW,LOW,0,0,3,2,7.023333333333334
HIGH,HIGH,1,6,3,2,6.003333333333333
LOW,LOW,0,2,5,2,3.458
LOW,LOW,0,5,2,1,5.853999999999999
LOW,LOW,1,5,5,2,4.854
LOW,LOW,1,3,5,2,2.438
LOW,LOW,0,3,1,0,1.434
HIGH,HIGH,1,6,1,0,2.838
HIGH,HIGH,1,6,4,1,4.286
LOW,LOW,1,4,5,3,3.976
LOW,LOW,1,5,1,0,2.598
LOW,LOW,1,3,1,0,5.214
LOW,LOW,0,5,3,3,4.888000000000001
HIGH,HIGH,1,7,3,1,6.774666666666667
HIGH,HIGH,0,7,3,2,7.049333333333334
HIGH,HIGH,0,7,2,1,7.318
LOW,LOW,1,0,4,2,7.164
LOW,LOW,0,5,1,0,7.212
LOW,LOW,0,5,3,2,6.491333333333333
HIGH,HIGH,0,7,4,3,6.732000000000001
HIGH,HIGH,1,9,4,3,6.498
HIGH,HIGH,0,6,4,4,5.548
HIGH,HIGH,1,9,1,0,4.482
LOW,LOW,0,0,0,0,2.802
LOW,LOW,1,1,1,0,4.502000000000001
HIGH,HIGH,0,7,2,1,1.764
HIGH,HIGH,0,7,0,0,3.338
HIGH,HIGH,1,7,3,1,3.9326666666666665
HIGH,HIGH,1,7,3,1,3.388666666666667
HIGH,HIGH,1,7,4,2,5.473999999999999
LOW,LOW,1,4,0,0,3.224
HIGH,HIGH,1,8,1,0,2.534
HIGH,HIGH,0,6,0,0,5.326
LOW,LOW,0,3,5,4,3.878
HIGH,HIGH,0,6,1,0,5.112
LOW,LOW,0,0,1,1,7.71
LOW,LOW,0,3,1,0,6.574000000000001
LOW,LOW,0,4,3,2,5.223333333333334
LOW,LOW,0,2,0,0,4.166
LOW,LOW,0,4,5,3,6.734
LOW,LOW,0,2,2,1,7.061999999999999
HIGH,HIGH,0,9,3,2,5.5953333333333335
HIGH,HIGH,1,6,4,2,3.726
LOW,LOW,1,5,0,0,2.21
HIGH,HIGH,1,6,5,2,0.18
HIGH,HIGH,1,8,1,0,2.934
LOW,LOW,1,5,0,0,3.27
LOW,LOW,1,3,1,0,4.286
HIGH,HIGH,1,8,2,1,2.97
HIGH,HIGH,1,9,2,1,2.944
LOW,LOW,0,2,5,2,2.902
LOW,LOW,0,3,1,0,2.354
LOW,LOW,0,2,3,2,4.537333333333334
LOW,LOW,0,2,1,0,9.12
HIGH,HIGH,0,9,3,3,6.138
LOW,LOW,0,0,4,4,6.164
HIGH,HIGH,0,6,3,2,7.145333333333333
LOW,LOW,0,5,5,3,5.422000000000001
LOW,LOW,0,4,2,1,5.124
LOW,LOW,0,5,2,1,2.832
LOW,LOW,0,0,4,3,6.412000000000001
LOW,LOW,0,4,4,2,5.175999999999999
HIGH,HIGH,0,8,2,1,5.755999999999999
HIGH,HIGH,0,8,1,0,5.706
LOW,LOW,0,3,1,0,6.057999999999999
HIGH,HIGH,0,7,4,3,7.54
LOW,LOW,0,5,2,2,5.472
HIGH,HIGH,0,6,4,3,7.853999999999999
HIGH,HIGH,0,6,3,2,5.309333333333334
LOW,LOW,0,4,4,4,5.258
LOW,LOW,0,4,1,0,5.142
LOW,LOW,1,1,1,0,5.396
LOW,LOW,1,2,0,0,1.988
HIGH,HIGH,1,7,2,0,3.476
LOW,LOW,0,5,2,0,3.3560000000000003
LOW,LOW,0,0,3,1,2.8146666666666667
LOW,LOW,1,0,4,1,4.016
LOW,LOW,0,5,1,0,5.244
LOW,LOW,0,4,5,2,3.422
HIGH,HIGH,1,6,1,0,2.184
HIGH,HIGH,0,9,3,1,5.738666666666666
HIGH,HIGH,1,9,0,0,2.41
HIGH,HIGH,1,9,1,0,0.036
HIGH,HIGH,0,9,4,0,0.784
HIGH,HIGH,1,6,1,0,0.3
HIGH,HIGH,1,9,3,0,0.6
HIGH,HIGH,1,9,5,0,0.912
HIGH,HIGH,1,6,2,0,0.388
LOW,LOW,1,5,0,0,0.6579999999999999
HIGH,HIGH,1,6,2,0,1.936
LOW,LOW,1,5,2,0,0.0
LOW,LOW,1,0,1,0,0.6639999999999999
LOW,LOW,1,2,3,1,3.286666666666667
LOW,LOW,1,0,5,4,5.566
LOW,LOW,0,1,2,1,5.794
LOW,LOW,0,1,1,0,4.766
HIGH,HIGH,1,8,2,1,4.577999999999999
HIGH,HIGH,0,9,0,0,4.369999999999999
LOW,LOW,0,0,4,4,5.62
LOW,LOW,0,5,1,1,6.287999999999999
HIGH,HIGH,0,6,5,4,6.71
LOW,LOW,0,4,4,3,5.204000000000001
HIGH,HIGH,0,8,4,3,3.556
LOW,LOW,0,3,2,0,1.116
HIGH,HIGH,0,7,2,1,5.354
LOW,LOW,1,5,4,2,3.946
LOW,LOW,0,2,2,1,3.18
LOW,LOW,1,1,2,1,2.358
HIGH,HIGH,0,6,3,1,3.454666666666667
LOW,LOW,0,0,2,1,4.206
HIGH,HIGH,0,7,5,4,5.764
LOW,LOW,1,5,3,1,0.6946666666666667
LOW,LOW,1,1,1,0,4.726
HIGH,HIGH,1,8,3,1,1.1326666666666667
HIGH,HIGH,1,6,0,0,1.96
LOW,LOW,1,4,0,0,2.192
HIGH,HIGH,0,8,3,1,0.8426666666666667
LOW,LOW,0,0,4,1,4.206
HIGH,HIGH,1,7,2,1,2.2920000000000003
HIGH,HIGH,0,9,3,1,3.464666666666667
LOW,LOW,0,1,4,3,1.814
LOW,LOW,0,4,1,0,2.326
HIGH,HIGH,1,7,2,0,0.3
LOW,LOW,1,5,4,0,1.582
HIGH,HIGH,1,9,2,0,1.304
HIGH,HIGH,1,7,3,0,0.3359999999999999
HIGH,HIGH,1,6,3,1,0.5146666666666666
LOW,LOW,1,5,1,0,0.95
LOW,LOW,1,3,1,0,1.574
LOW,LOW,1,2,3,0,1.308
HIGH,HIGH,1,6,4,0,0.344
HIGH,HIGH,1,8,5,0,0.3
LOW,LOW,0,0,3,1,2.524666666666667
LOW,LOW,1,5,0,0,1.246
LOW,LOW,0,5,1,0,4.326
LOW,LOW,1,5,1,0,1.29
HIGH,HIGH,0,7,3,2,2.869333333333333
HIGH,HIGH,1,7,5,3,3.348
HIGH,HIGH,0,7,1,0,3.012
LOW,LOW,0,3,0,0,4.392
LOW,LOW,0,2,3,1,3.884666666666667
HIGH,HIGH,0,7,3,1,3.736666666666667
LOW,LOW,0,4,1,0,3.512
LOW,LOW,1,1,5,3,7.06
LOW,LOW,0,3,0,0,3.526
LOW,LOW,0,1,0,0,4.794
HIGH,HIGH,0,7,3,1,4.728666666666667
HIGH,HIGH,0,8,3,2,6.221333333333333
LOW,LOW,0,0,5,4,6.466000000000001
LOW,LOW,1,4,1,0,8.334
LOW,LOW,0,4,5,4,6.724
LOW,LOW,0,3,3,2,4.429333333333334
LOW,LOW,1,0,3,0,0.3379999999999999
LOW,LOW,1,2,0,0,0.996
HIGH,HIGH,1,8,0,0,1.0179999999999998
LOW,LOW,1,0,0,0,0.0
LOW,LOW,1,4,4,0,0.3
LOW,LOW,1,0,1,0,1.886
HIGH,HIGH,1,6,2,0,0.8999999999999999
LOW,LOW,1,5,5,1,0.344
LOW,LOW,1,1,4,0,0.302
HIGH,HIGH,1,6,0,0,0.616
HIGH,HIGH,1,9,0,0,6.126
LOW,LOW,0,4,5,4,7.486
HIGH,HIGH,1,9,2,1,7.185999999999999
LOW,LOW,0,3,1,0,4.688000000000001
HIGH,HIGH,0,7,4,3,6.8500000000000005
HIGH,HIGH,0,9,4,4,4.978
LOW,LOW,0,1,4,2,5.731999999999999
LOW,LOW,0,0,5,4,5.46
LOW,LOW,0,5,2,2,5.5
LOW,LOW,1,2,0,0,6.43
LOW,LOW,0,2,1,1,4.916
LOW,LOW,0,3,4,3,5.864
LOW,LOW,0,2,0,0,5.834
HIGH,HIGH,0,6,4,2,6.045999999999999
HIGH,HIGH,0,7,1,0,6.978
LOW,LOW,1,2,5,3,3.634
HIGH,HIGH,0,8,1,0,4.182
HIGH,HIGH,0,8,1,0,5.723999999999999
LOW,LOW,0,5,5,4,6.882
LOW,LOW,0,4,2,1,5.654
LOW,LOW,0,5,3,2,3.753333333333333
LOW,LOW,1,4,5,2,3.078
HIGH,HIGH,1,9,5,2,2.652
LOW,LOW,1,1,2,1,4.593999999999999
LOW,LOW,0,4,1,0,2.058
LOW,LOW,1,2,5,1,1.7460000000000002
LOW,LOW,0,3,5,2,4.172
HIGH,HIGH,0,8,5,3,2.906
LOW,LOW,1,0,4,2,3.25
HIGH,HIGH,1,8,5,2,2.658
LOW,LOW,0,4,1,0,4.95
HIGH,HIGH,0,6,5,4,6.5760000000000005
HIGH,HIGH,0,9,4,2,6.322
LOW,LOW,0,5,3,2,7.043333333333334
LOW,LOW,1,5,2,2,5.28
HIGH,HIGH,0,6,4,3,5.094
HIGH,HIGH,0,9,4,4,4.830000000000001
LOW,LOW,0,5,4,3,5.84
LOW,LOW,0,4,0,0,4.798
LOW,LOW,0,0,1,0,5.088
LOW,LOW,1,4,1,0,6.098
LOW,LOW,0,5,5,4,7.478
HIGH,HIGH,0,7,4,3,7.408
LOW,LOW,0,4,2,1,5.865999999999999
HIGH,HIGH,0,9,0,0,3.69
HIGH,HIGH,0,6,0,0,5.324
LOW,LOW,1,3,2,1,7.223999999999999
HIGH,HIGH,0,8,5,3,3.838
LOW,LOW,0,5,5,5,4.984
HIGH,HIGH,0,7,3,2,6.777333333333334
LOW,LOW,0,3,3,2,4.075333333333333
HIGH,HIGH,1,6,3,1,4.320666666666667
LOW,LOW,1,2,2,1,7.465999999999999
LOW,LOW,0,0,1,0,0.4999999999999999
LOW,LOW,1,0,1,0,1.97
HIGH,HIGH,0,8,3,1,6.270666666666667
HIGH,HIGH,1,8,3,2,2.3993333333333333
LOW,LOW,0,5,4,2,5.188
LOW,LOW,0,1,1,0,4.654000000000001
LOW,LOW,0,2,3,2,0.3333333333333333
HIGH,HIGH,0,7,1,0,6.776
LOW,LOW,1,0,5,3,6.222
LOW,LOW,0,1,0,0,5.7
LOW,LOW,0,2,3,3,4.294
LOW,LOW,0,5,3,2,6.737333333333334
LOW,LOW,0,2,3,3,3.034
LOW,LOW,0,1,5,4,6.196
LOW,LOW,0,1,3,2,6.385333333333334
HIGH,HIGH,1,7,2,1,6.869999999999999
HIGH,HIGH,0,9,2,1,3.444
HIGH,HIGH,1,8,4,0,0.7
LOW,LOW,1,0,2,0,1.264
LOW,LOW,1,5,1,0,0.954
LOW,LOW,1,0,2,0,0.0
HIGH,HIGH,1,6,1,0,2.824
HIGH,HIGH,1,6,2,0,0.702
HIGH,HIGH,1,7,0,0,0.948
HIGH,HIGH,1,6,0,0,0.628
LOW,LOW,1,5,0,0,1.274
LOW,LOW,1,2,3,0,0.968
HIGH,HIGH,0,8,5,3,4.132
LOW,LOW,1,3,0,0,5.109999999999999
LOW,LOW,0,3,0,0,6.242
LOW,LOW,0,2,4,4,8.052
HIGH,HIGH,1,9,0,0,7.077999999999999
HIGH,HIGH,1,8,4,3,4.936
HIGH,HIGH,0,6,5,5,5.656
HIGH,HIGH,0,7,0,0,6.174
LOW,LOW,0,0,5,3,7.407999999999999
HIGH,HIGH,0,6,2,2,2.6340000000000003
LOW,LOW,1,4,5,1,2.128
HIGH,HIGH,1,8,5,4,2.09
LOW,LOW,1,0,1,0,4.284
LOW,LOW,1,3,3,1,3.5966666666666667
LOW,LOW,1,1,3,1,2.8886666666666665
LOW,LOW,0,1,2,0,1.808
HIGH,HIGH,1,9,2,0,3.27
LOW,LOW,0,0,0,0,3.9819999999999993
LOW,LOW,1,4,5,3,3.3040000000000003
LOW,LOW,1,1,3,0,3.334
LOW,LOW,1,5,5,3,5.238
HIGH,HIGH,0,6,3,2,7.191333333333334
HIGH,HIGH,0,9,2,1,5.702
LOW,LOW,0,4,2,1,7.356
LOW,LOW,0,0,3,2,4.799333333333334
LOW,LOW,0,2,2,1,3.806
LOW,LOW,1,2,2,1,4.566
LOW,LOW,0,0,4,3,6.426000000000001
LOW,LOW,0,5,4,2,6.614
LOW,LOW,1,3,3,2,3.995333333333333
HIGH,HIGH,1,6,2,0,0.978
HIGH,HIGH,1,8,4,1,0.054
HIGH,HIGH,1,6,1,0,0.0
LOW,LOW,1,2,0,0,0.698
LOW,LOW,1,5,4,0,2.35
HIGH,HIGH,1,9,0,0,1.954
HIGH,HIGH,1,9,5,1,1.0759999999999998
HIGH,HIGH,1,7,4,0,2.242
LOW,LOW,1,0,1,0,0.0
LOW,LOW,1,2,0,0,1.294
LOW,LOW,0,2,1,0,3.942
HIGH,HIGH,1,8,5,2,4.708
HIGH,HIGH,1,9,3,1,1.6886666666666668
HIGH,HIGH,1,9,4,2,2.62
HIGH,HIGH,0,7,2,1,3.454
HIGH,HIGH,1,6,0,0,2.85
LOW,LOW,1,3,5,2,1.724
LOW,LOW,1,4,5,3,3.63
HIGH,HIGH,0,8,1,0,2.114
LOW,LOW,1,3,5,2,3.89
LOW,LOW,1,3,0,0,2.278
LOW,LOW,0,0,4,2,2.496
HIGH,HIGH,1,7,5,2,1.4560000000000002
HIGH,HIGH,1,8,0,0,3.212
HIGH,HIGH,0,7,3,1,5.418666666666667
LOW,LOW,1,2,2,1,5.517999999999999
HIGH,HIGH,0,6,1,0,1.2179999999999995
LOW,LOW,0,1,2,1,3.096
LOW,LOW,0,1,4,0,2.382
LOW,LOW,0,4,5,1,1.736
HIGH,HIGH,1,7,3,2,5.8933333333333335
LOW,LOW,0,1,2,1,8.504
LOW,LOW,1,3,2,2,7.895999999999999
LOW,LOW,0,4,4,2,4.811999999999999
LOW,LOW,1,0,2,1,6.449999999999999
HIGH,HIGH,0,7,0,0,8.33
HIGH,HIGH,0,8,1,1,7.166
LOW,LOW,0,0,4,3,6.412000000000001
LOW,LOW,0,0,5,5,7.772
LOW,LOW,0,1,0,0,5.54
LOW,LOW,1,4,3,1,2.246666666666667
LOW,LOW,0,0,0,0,4.448
HIGH,HIGH,0,8,3,1,1.9826666666666668
LOW,LOW,1,0,3,1,1.9126666666666663
LOW,LOW,0,5,5,3,0.96
LOW,LOW,1,1,0,0,3.224
HIGH,HIGH,0,7,2,1,2.838
LOW,LOW,1,3,0,0,2.916
HIGH,HIGH,0,6,4,2,3.45
LOW,LOW,0,2,0,0,5.588
LOW,LOW,1,5,0,0,1.896
LOW,LOW,1,2,2,0,0.6659999999999999
LOW,LOW,1,1,0,0,1.0639999999999998
LOW,LOW,1,3,4,0,0.054
HIGH,HIGH,1,9,1,0,0.604
HIGH,HIGH,1,8,3,0,0.634
HIGH,HIGH,1,8,4,0,1.56
LOW,LOW,1,3,2,0,0.972
HIGH,HIGH,1,9,2,0,0.64
LOW,LOW,1,3,2,0,0.91
LOW,LOW,0,0,5,5,6.7620000000000005
LOW,LOW,1,3,0,0,4.454000000000001
HIGH,HIGH,0,6,1,1,6.286
LOW,LOW,0,5,0,0,8.536
HIGH,HIGH,1,8,1,0,5.789999999999999
HIGH,HIGH,0,7,1,1,4.958
LOW,LOW,0,0,1,0,8.306
LOW,LOW,0,4,3,2,5.165333333333334
LOW,LOW,0,0,4,3,5.904
LOW,LOW,0,1,5,4,5.42
LOW,LOW,0,5,0,0,5.26
HIGH,HIGH,0,8,1,0,8.122
LOW,LOW,0,5,5,4,5.164000000000001
LOW,LOW,0,5,5,3,5.584
LOW,LOW,1,5,5,3,4.86
LOW,LOW,0,0,3,2,3.839333333333333
HIGH,HIGH,0,6,2,1,5.835999999999999
HIGH,HIGH,1,9,1,0,6.446
HIGH,HIGH,1,9,5,3,4.904
LOW,LOW,0,1,1,0,5.358
LOW,LOW,1,4,3,0,1.6
LOW,LOW,1,1,5,0,1.266
HIGH,HIGH,1,7,4,0,0.934
LOW,LOW,1,0,5,0,0.8999999999999999
LOW,LOW,1,3,4,0,0.0
LOW,LOW,1,4,2,0,0.3399999999999999
LOW,LOW,1,4,3,0,0.6719999999999999
LOW,LOW,1,3,2,0,1.558
HIGH,HIGH,1,6,0,0,0.3
LOW,LOW,1,0,3,0,0.95
HIGH,HIGH,1,7,3,2,4.741333333333333
LOW,LOW,0,5,3,0,3.826
HIGH,HIGH,0,9,3,1,4.062666666666667
LOW,LOW,0,2,2,1,5.734
LOW,LOW,0,3,5,2,1.254
LOW,LOW,1,1,0,0,4.408
LOW,LOW,1,3,0,0,0.3999999999999999
LOW,LOW,1,2,0,0,0.62
HIGH,HIGH,0,8,3,1,0.9506666666666664
HIGH,HIGH,0,8,1,0,3.66
LOW,LOW,1,5,4,0,0.996
LOW,LOW,1,0,3,0,0.948
HIGH,HIGH,1,9,3,0,0.0
HIGH,HIGH,1,7,5,1,1.624
LOW,LOW,1,5,3,0,0.304
LOW,LOW,1,2,2,0,1.244
LOW,LOW,1,1,3,0,0.63
